Customer ID,Initial Device Inquiry,Initial Issue Category,Secondary Devices Owned,Probing Question/Statement Used,HomeTech Protection Offer Presented,HomeTech Protection Offer Accepted
19,Phone,Connectivity Issue,"Fitness Tracker, Smart Thermostat, Smart Headphones, Smart Speaker",We can protect your phone and your smart speakers or sound bars at home under one plan. It's a really convenient way to go. What other devices do you have?,False,False
20,Tablet,Software Issue,"Fitness Tracker, Smart TV, Laptop, Printer, Smart Speaker, Sound Bar",Many of our customers bundle their Smart TVs with their other devices for complete home tech protection. It's very affordable. Would you like to explore that option?,False,False
21,Smart Watch,Warranty Claim,"Smart Headphones, Gaming System, Laptop, Fitness Tracker, Sound Bar, Smart Speaker, Smart Thermostat, Smart Security Camera, Desktop","With a laptop and a gaming system, you've got a great setup. HomeTech Protection can keep it all protected. Want to learn more?",False,False
22,Smart Watch,Phone Setup/Restore,Gaming System,Do you stream movies or play games at home? We can protect your Smart TV and gaming consoles too.,False,False
23,Smart Watch,Warranty Claim,"Smart Headphones, Sound Bar, Desktop","With so many smart devices in a home these days, it makes sense to have one plan to cover them all. Have you considered HomeTech Protection?",True,False
24,Smart Watch,Network Issue,"Smart Speaker, Desktop, Printer, Smart Thermostat, Sound Bar","With a desktop and printer, you've got a home office setup. HomeTech Protection can cover all your work-from-home tech. It's a great way to safeguard your productivity. Have you heard about it?",True,True
25,Phone,Connectivity Issue,"Smart Speaker, Sound Bar, Desktop",We can protect your phone and your smart speakers or sound bars at home under one plan. It's a really convenient way to go. What other devices do you have?,False,False
26,Tablet,Cracked Screen,"Printer, Smart Security Camera, Desktop, Smart TV",Many of our customers bundle their Smart TVs with their other devices for complete home tech protection. It's very affordable. Would you like to explore that option?,False,False
27,Smart Watch,Other,"Smart TV, Sound Bar, Smart Speaker, Smart Thermostat",Many of our customers bundle their Smart TVs with their other devices for complete home tech protection. It's very affordable. Would you like to explore that option?,True,False
28,Tablet,Other,"Smart TV, Sound Bar, Gaming System, Smart Thermostat, Smart Headphones, Fitness Tracker, Printer, Laptop, Smart Security Camera, Smart Speaker, Desktop","I see you have a laptop and a gaming system. HomeTech Protection covers all your devices, even high-value ones like those. Would you be interested in learning more?",True,False
29,Phone,Cracked Screen,"Printer, Gaming System, Smart Headphones","With so many smart devices in a home these days, it makes sense to have one plan to cover them all. Have you considered HomeTech Protection?",False,False
30,Phone,Warranty Claim,"Desktop, Smart Security Camera, Sound Bar, Gaming System, Laptop, Printer, Smart Speaker, Fitness Tracker, Smart TV","I see you have a laptop and a gaming system. HomeTech Protection covers all your devices, even high-value ones like those. Would you be interested in learning more?",True,False
31,Phone,Phone Setup/Restore,None,"We have affordable plans for your {initial_device}, would you be interested in learning more?",False,False
32,Tablet,Connectivity Issue,Smart TV,Many of our customers bundle their Smart TVs with their other devices for complete home tech protection. It's very affordable. Would you like to explore that option?,False,False
33,Smart Watch,Slow Performance,None,"We have affordable plans for your {initial_device}, would you be interested in learning more?",True,False
34,Phone,Cracked Screen,"Gaming System, Desktop","A lot of people are now working from home, do you have a home office setup with a computer or printer?",True,False
35,Smart Watch,Warranty Claim,"Gaming System, Sound Bar, Desktop, Fitness Tracker, Smart Thermostat, Smart TV",Many of our customers bundle their Smart TVs with their other devices for complete home tech protection. It's very affordable. Would you like to explore that option?,True,True
36,Tablet,Software Issue,"Laptop, Gaming System, Smart Headphones, Smart Thermostat, Smart TV, Smart Security Camera, Printer, Sound Bar, Desktop, Fitness Tracker, Smart Speaker","I see you have a laptop and a gaming system. HomeTech Protection covers all your devices, even high-value ones like those. Would you be interested in learning more?",True,False
37,Phone,Software Issue,"Gaming System, Smart Headphones",Many of our customers protect all their devices under one plan. Would you be interested in learning more about HomeTech Protection?,False,False
38,Tablet,Warranty Claim,"Printer, Desktop, Sound Bar","With a desktop and printer, you've got a home office setup. HomeTech Protection can cover all your work-from-home tech. It's a great way to safeguard your productivity. Have you heard about it?",True,True
39,Tablet,Cracked Screen,"Sound Bar, Printer, Desktop, Laptop, Fitness Tracker, Smart TV, Smart Speaker, Smart Thermostat, Smart Headphones, Gaming System, Smart Security Camera","With a laptop and a gaming system, you've got a great setup. HomeTech Protection can keep it all protected. Want to learn more?",True,False
40,Tablet,App Issue,"Gaming System, Desktop, Sound Bar, Fitness Tracker, Smart Security Camera, Smart Thermostat, Printer, Smart Headphones, Smart Speaker, Smart TV, Laptop","I see you have a laptop and a gaming system. HomeTech Protection covers all your devices, even high-value ones like those. Would you be interested in learning more?",True,True
41,Smart Watch,Slow Performance,"Sound Bar, Smart Thermostat, Smart Speaker, Smart Headphones, Desktop, Smart TV, Smart Security Camera",Protecting your Smart TV can be expensive. HomeTech Protection offers great coverage for entertainment devices. Interested?,False,False
42,Phone,Software Issue,"Smart Speaker, Smart Thermostat, Laptop, Gaming System, Smart TV, Sound Bar, Smart Security Camera, Smart Headphones, Printer, Fitness Tracker","I see you have a laptop and a gaming system. HomeTech Protection covers all your devices, even high-value ones like those. Would you be interested in learning more?",True,False
43,Phone,Connectivity Issue,"Fitness Tracker, Printer, Gaming System, Smart Security Camera, Laptop","I see you have a laptop and a gaming system. HomeTech Protection covers all your devices, even high-value ones like those. Would you be interested in learning more?",True,False
44,Phone,Connectivity Issue,"Fitness Tracker, Sound Bar, Laptop, Smart Headphones, Printer, Gaming System, Smart Thermostat, Smart TV, Smart Security Camera, Smart Speaker, Desktop","I see you have a laptop and a gaming system. HomeTech Protection covers all your devices, even high-value ones like those. Would you be interested in learning more?",False,False
45,Tablet,Battery Problem,None,"We have affordable plans for your {initial_device}, would you be interested in learning more?",False,False
46,Phone,Slow Performance,"Printer, Gaming System, Smart TV, Smart Speaker, Fitness Tracker, Smart Headphones, Desktop, Smart Security Camera, Laptop","With a laptop and a gaming system, you've got a great setup. HomeTech Protection can keep it all protected. Want to learn more?",False,False
47,Phone,Phone Setup/Restore,"Printer, Sound Bar, Smart Thermostat, Smart Headphones, Smart Speaker, Desktop, Fitness Tracker","With a desktop and printer, you've got a home office setup. HomeTech Protection can cover all your work-from-home tech. It's a great way to safeguard your productivity. Have you heard about it?",True,True
48,Phone,Cracked Screen,"Sound Bar, Gaming System",HomeTech Protection covers your phone and your smart home audio too. It's a great way to protect your entertainment setup. Want to learn more?,False,False
49,Tablet,Warranty Claim,"Smart Thermostat, Smart Headphones, Gaming System, Smart TV, Smart Speaker, Fitness Tracker, Smart Security Camera, Printer, Desktop, Sound Bar",Protecting your Smart TV can be expensive. HomeTech Protection offers great coverage for entertainment devices. Interested?,True,False
50,Smart Watch,App Issue,"Smart Thermostat, Smart TV, Laptop, Smart Speaker, Smart Security Camera, Gaming System, Printer, Fitness Tracker, Desktop, Sound Bar, Smart Headphones","I see you have a laptop and a gaming system. HomeTech Protection covers all your devices, even high-value ones like those. Would you be interested in learning more?",True,False
51,Smart Watch,App Issue,"Smart Speaker, Gaming System, Smart Thermostat, Smart Security Camera, Smart Headphones, Laptop, Printer","I see you have a laptop and a gaming system. HomeTech Protection covers all your devices, even high-value ones like those. Would you be interested in learning more?",False,False
52,Smart Watch,Network Issue,None,"While we're discussing your {initial_device}, have you considered protecting it against accidental damage?",True,True
53,Phone,Warranty Claim,"Smart Headphones, Smart Speaker, Gaming System, Desktop, Smart Thermostat, Sound Bar, Smart Security Camera, Printer, Fitness Tracker","With a desktop and printer, you've got a home office setup. HomeTech Protection can cover all your work-from-home tech. It's a great way to safeguard your productivity. Have you heard about it?",True,False
54,Phone,Warranty Claim,Smart Headphones,Many of our customers protect all their devices under one plan. Would you be interested in learning more about HomeTech Protection?,False,False
55,Tablet,App Issue,"Smart Security Camera, Smart TV, Laptop, Smart Speaker, Smart Thermostat",Many of our customers bundle their Smart TVs with their other devices for complete home tech protection. It's very affordable. Would you like to explore that option?,True,False
56,Smart Watch,Software Issue,None,"While we're discussing your {initial_device}, have you considered protecting it against accidental damage?",False,False
57,Phone,Network Issue,"Smart Thermostat, Smart Security Camera",Protecting your smart home setup is important. HomeTech Protection offers comprehensive coverage for all your smart devices. Interested?,False,False
58,Phone,App Issue,"Smart Thermostat, Smart Speaker, Smart Headphones, Smart TV, Desktop, Fitness Tracker, Printer, Smart Security Camera, Gaming System, Sound Bar, Laptop","I see you have a laptop and a gaming system. HomeTech Protection covers all your devices, even high-value ones like those. Would you be interested in learning more?",True,False
59,Phone,Connectivity Issue,None,"While we're discussing your {initial_device}, have you considered protecting it against accidental damage?",True,False
60,Tablet,Cracked Screen,"Desktop, Laptop",Many of our customers protect all their devices under one plan. Would you be interested in learning more about HomeTech Protection?,True,False
61,Phone,Warranty Claim,"Printer, Smart TV, Smart Headphones",Protecting your Smart TV can be expensive. HomeTech Protection offers great coverage for entertainment devices. Interested?,False,False
62,Phone,Battery Problem,"Laptop, Gaming System","I see you have a laptop and a gaming system. HomeTech Protection covers all your devices, even high-value ones like those. Would you be interested in learning more?",False,False
63,Smart Watch,Phone Setup/Restore,"Smart Headphones, Smart TV, Smart Speaker, Gaming System, Sound Bar, Printer, Desktop, Smart Thermostat, Fitness Tracker, Smart Security Camera, Laptop","With a laptop and a gaming system, you've got a great setup. HomeTech Protection can keep it all protected. Want to learn more?",False,False
64,Phone,Connectivity Issue,"Fitness Tracker, Smart Headphones, Smart Security Camera, Sound Bar, Laptop, Smart Thermostat",We can protect your phone and your smart speakers or sound bars at home under one plan. It's a really convenient way to go. What other devices do you have?,True,False
65,Tablet,Battery Problem,"Smart Speaker, Printer, Gaming System, Sound Bar, Desktop, Laptop, Smart Headphones, Smart TV, Smart Thermostat, Smart Security Camera","I see you have a laptop and a gaming system. HomeTech Protection covers all your devices, even high-value ones like those. Would you be interested in learning more?",True,False
66,Tablet,Network Issue,"Smart Thermostat, Smart Security Camera, Fitness Tracker, Smart TV",Many of our customers bundle their Smart TVs with their other devices for complete home tech protection. It's very affordable. Would you like to explore that option?,False,False
67,Smart Watch,Other,"Smart Thermostat, Smart Security Camera, Sound Bar, Smart Headphones, Gaming System, Smart TV",Protecting your Smart TV can be expensive. HomeTech Protection offers great coverage for entertainment devices. Interested?,False,False
68,Tablet,App Issue,"Smart Security Camera, Gaming System, Sound Bar, Smart Speaker, Smart Thermostat, Desktop",Protecting your smart home setup is important. HomeTech Protection offers comprehensive coverage for all your smart devices. Interested?,True,True
69,Phone,App Issue,Printer,Are you aware we offer comprehensive coverage for multiple devices in your home with HomeTech Protection?,True,False
70,Phone,Other,"Smart Security Camera, Desktop, Printer, Laptop, Smart Speaker","Having a reliable home office is important. HomeTech Protection can cover your desktop and printer, giving you peace of mind. Want to learn more?",False,False
71,Smart Watch,Warranty Claim,"Smart Speaker, Smart Thermostat, Desktop, Printer, Smart Headphones, Sound Bar, Gaming System, Smart Security Camera, Laptop, Fitness Tracker, Smart TV","With a laptop and a gaming system, you've got a great setup. HomeTech Protection can keep it all protected. Want to learn more?",False,False
72,Smart Watch,Phone Setup/Restore,"Smart Speaker, Printer, Fitness Tracker, Smart Headphones, Smart TV, Smart Security Camera, Desktop, Sound Bar",Protecting your Smart TV can be expensive. HomeTech Protection offers great coverage for entertainment devices. Interested?,True,False
73,Tablet,Other,"Smart TV, Smart Thermostat, Fitness Tracker, Desktop, Smart Headphones, Smart Speaker, Laptop",Many of our customers bundle their Smart TVs with their other devices for complete home tech protection. It's very affordable. Would you like to explore that option?,False,False
74,Tablet,Cracked Screen,"Printer, Gaming System, Smart Speaker, Laptop, Smart TV, Smart Security Camera, Fitness Tracker","With a laptop and a gaming system, you've got a great setup. HomeTech Protection can keep it all protected. Want to learn more?",False,False
75,Tablet,Connectivity Issue,"Printer, Desktop, Smart TV, Smart Speaker, Smart Headphones, Laptop",Protecting your Smart TV can be expensive. HomeTech Protection offers great coverage for entertainment devices. Interested?,True,True
76,Smart Watch,Connectivity Issue,"Laptop, Smart Thermostat, Printer, Sound Bar, Smart Speaker, Gaming System","With a laptop and a gaming system, you've got a great setup. HomeTech Protection can keep it all protected. Want to learn more?",True,True
77,Phone,Software Issue,"Smart TV, Smart Headphones, Printer, Laptop, Desktop, Fitness Tracker, Smart Speaker, Smart Security Camera, Gaming System, Smart Thermostat","I see you have a laptop and a gaming system. HomeTech Protection covers all your devices, even high-value ones like those. Would you be interested in learning more?",False,False
78,Smart Watch,Phone Setup/Restore,Smart TV,Many of our customers bundle their Smart TVs with their other devices for complete home tech protection. It's very affordable. Would you like to explore that option?,False,False
79,Phone,Connectivity Issue,"Laptop, Desktop, Smart Speaker, Printer, Sound Bar, Smart Security Camera, Smart TV, Smart Headphones, Smart Thermostat, Gaming System, Fitness Tracker","I see you have a laptop and a gaming system. HomeTech Protection covers all your devices, even high-value ones like those. Would you be interested in learning more?",False,False
80,Tablet,Network Issue,"Desktop, Smart TV, Sound Bar, Smart Headphones, Printer, Gaming System, Smart Security Camera",Protecting your Smart TV can be expensive. HomeTech Protection offers great coverage for entertainment devices. Interested?,False,False
81,Phone,Connectivity Issue,Smart Headphones,Are you aware we offer comprehensive coverage for multiple devices in your home with HomeTech Protection?,True,False
82,Tablet,Connectivity Issue,"Gaming System, Smart TV, Smart Thermostat, Smart Headphones, Fitness Tracker, Smart Security Camera, Desktop, Printer, Laptop","I see you have a laptop and a gaming system. HomeTech Protection covers all your devices, even high-value ones like those. Would you be interested in learning more?",True,True
83,Tablet,Other,"Gaming System, Smart TV, Laptop, Sound Bar, Desktop, Smart Headphones, Smart Speaker, Smart Thermostat, Printer, Fitness Tracker","I see you have a laptop and a gaming system. HomeTech Protection covers all your devices, even high-value ones like those. Would you be interested in learning more?",False,False
84,Tablet,Slow Performance,"Smart TV, Gaming System, Sound Bar, Smart Headphones, Fitness Tracker, Printer, Desktop, Smart Thermostat, Smart Security Camera",Many of our customers bundle their Smart TVs with their other devices for complete home tech protection. It's very affordable. Would you like to explore that option?,True,False
85,Tablet,Phone Setup/Restore,None,"We have affordable plans for your {initial_device}, would you be interested in learning more?",False,False
86,Tablet,App Issue,"Laptop, Fitness Tracker","Are you aware that HomeTech Protection can cover all your smart devices, from laptops to gaming consoles?",True,True
87,Tablet,Software Issue,"Smart TV, Desktop, Smart Security Camera, Smart Headphones, Sound Bar, Smart Speaker, Laptop, Smart Thermostat",Many of our customers bundle their Smart TVs with their other devices for complete home tech protection. It's very affordable. Would you like to explore that option?,False,False
88,Tablet,App Issue,"Smart Headphones, Smart Speaker, Smart Thermostat, Laptop","I see you have some smart home devices. HomeTech Protection can cover your smart thermostat and security cameras, along with all your other tech. Have you considered it?",False,False
89,Phone,Warranty Claim,"Gaming System, Smart Headphones, Smart Speaker, Printer, Laptop, Smart Thermostat, Smart Security Camera, Sound Bar, Smart TV, Desktop","With a laptop and a gaming system, you've got a great setup. HomeTech Protection can keep it all protected. Want to learn more?",True,False
90,Phone,Battery Problem,"Smart Thermostat, Desktop, Printer, Gaming System, Sound Bar","With a desktop and printer, you've got a home office setup. HomeTech Protection can cover all your work-from-home tech. It's a great way to safeguard your productivity. Have you heard about it?",True,False
91,Smart Watch,Cracked Screen,"Smart Headphones, Printer, Desktop, Laptop, Smart TV, Smart Speaker, Gaming System, Smart Thermostat, Fitness Tracker, Smart Security Camera","I see you have a laptop and a gaming system. HomeTech Protection covers all your devices, even high-value ones like those. Would you be interested in learning more?",False,False
92,Smart Watch,Warranty Claim,"Printer, Smart Headphones, Gaming System, Smart Security Camera","I see you have some smart home devices. HomeTech Protection can cover your smart thermostat and security cameras, along with all your other tech. Have you considered it?",True,True
93,Tablet,Cracked Screen,"Printer, Smart Security Camera, Smart Speaker, Desktop, Smart TV, Sound Bar, Laptop",Protecting your Smart TV can be expensive. HomeTech Protection offers great coverage for entertainment devices. Interested?,False,False
94,Phone,Connectivity Issue,"Smart Thermostat, Printer, Gaming System, Laptop, Smart TV, Smart Speaker, Sound Bar, Desktop, Fitness Tracker, Smart Security Camera","I see you have a laptop and a gaming system. HomeTech Protection covers all your devices, even high-value ones like those. Would you be interested in learning more?",False,False
95,Smart Watch,Phone Setup/Restore,"Desktop, Laptop, Sound Bar, Smart Speaker, Fitness Tracker, Smart Headphones, Smart Security Camera, Gaming System, Smart TV, Printer","With a laptop and a gaming system, you've got a great setup. HomeTech Protection can keep it all protected. Want to learn more?",False,False
96,Smart Watch,Network Issue,"Smart TV, Laptop, Fitness Tracker, Gaming System, Desktop","With a laptop and a gaming system, you've got a great setup. HomeTech Protection can keep it all protected. Want to learn more?",True,False
97,Tablet,Cracked Screen,"Laptop, Smart Headphones, Smart Speaker, Desktop, Sound Bar, Smart TV, Smart Thermostat, Smart Security Camera, Gaming System","With a laptop and a gaming system, you've got a great setup. HomeTech Protection can keep it all protected. Want to learn more?",False,False
98,Tablet,Slow Performance,"Fitness Tracker, Sound Bar, Smart Speaker, Desktop, Gaming System, Smart Headphones","Do you have a printer at home? Printers can be expensive to replace, and HomeTech Protection can cover them.",False,False
99,Tablet,Other,"Printer, Smart Security Camera, Fitness Tracker, Smart Thermostat, Sound Bar, Smart Speaker, Smart Headphones, Smart TV, Laptop, Gaming System","With a laptop and a gaming system, you've got a great setup. HomeTech Protection can keep it all protected. Want to learn more?",False,False
100,Tablet,Software Issue,"Fitness Tracker, Smart TV, Smart Thermostat",Protecting your Smart TV can be expensive. HomeTech Protection offers great coverage for entertainment devices. Interested?,True,True
101,Smart Watch,Phone Setup/Restore,"Printer, Gaming System",Our HomeTech Protection plan covers all your home tech. It's very cost-effective. Have you heard about it?,True,False
102,Phone,Battery Problem,"Laptop, Desktop, Smart TV, Printer, Smart Headphones, Fitness Tracker, Smart Speaker, Smart Thermostat, Sound Bar",Many of our customers bundle their Smart TVs with their other devices for complete home tech protection. It's very affordable. Would you like to explore that option?,True,False
103,Smart Watch,Connectivity Issue,"Sound Bar, Smart Thermostat, Smart Security Camera, Smart Headphones",Protecting your smart home setup is important. HomeTech Protection offers comprehensive coverage for all your smart devices. Interested?,False,False
104,Smart Watch,Network Issue,Smart TV,Protecting your Smart TV can be expensive. HomeTech Protection offers great coverage for entertainment devices. Interested?,False,False
105,Tablet,Connectivity Issue,Smart TV,Protecting your Smart TV can be expensive. HomeTech Protection offers great coverage for entertainment devices. Interested?,True,True
106,Smart Watch,Warranty Claim,"Gaming System, Fitness Tracker, Printer, Smart Headphones, Smart TV, Desktop, Laptop, Smart Security Camera","With a laptop and a gaming system, you've got a great setup. HomeTech Protection can keep it all protected. Want to learn more?",False,False
107,Phone,Other,"Sound Bar, Smart Speaker, Smart Thermostat, Smart TV, Smart Headphones, Desktop",Protecting your Smart TV can be expensive. HomeTech Protection offers great coverage for entertainment devices. Interested?,False,False
108,Phone,Other,"Smart Thermostat, Desktop, Smart Speaker, Fitness Tracker, Smart Headphones, Sound Bar, Smart Security Camera, Laptop, Gaming System, Printer, Smart TV","I see you have a laptop and a gaming system. HomeTech Protection covers all your devices, even high-value ones like those. Would you be interested in learning more?",False,False
109,Smart Watch,Battery Problem,"Desktop, Gaming System, Smart Speaker",Have you tried other products from X brand?,True,False
110,Smart Watch,Connectivity Issue,"Desktop, Fitness Tracker, Smart TV, Smart Headphones, Sound Bar, Smart Security Camera, Smart Thermostat",Many of our customers bundle their Smart TVs with their other devices for complete home tech protection. It's very affordable. Would you like to explore that option?,False,False
111,Phone,Warranty Claim,Smart TV,Protecting your Smart TV can be expensive. HomeTech Protection offers great coverage for entertainment devices. Interested?,True,False
112,Tablet,Network Issue,"Fitness Tracker, Smart Headphones, Smart Speaker","A lot of people are now working from home, do you have a home office setup with a computer or printer?",False,False
113,Tablet,App Issue,"Printer, Smart Headphones, Smart Speaker, Gaming System, Smart TV, Smart Thermostat",Many of our customers bundle their Smart TVs with their other devices for complete home tech protection. It's very affordable. Would you like to explore that option?,True,False
114,Phone,Network Issue,Fitness Tracker,"A lot of people are now working from home, do you have a home office setup with a computer or printer?",True,True
115,Tablet,Phone Setup/Restore,"Printer, Smart Thermostat, Sound Bar, Gaming System, Smart TV, Smart Speaker, Desktop, Laptop, Fitness Tracker","I see you have a laptop and a gaming system. HomeTech Protection covers all your devices, even high-value ones like those. Would you be interested in learning more?",True,False
116,Phone,Slow Performance,"Smart TV, Smart Thermostat, Laptop, Desktop",Many of our customers bundle their Smart TVs with their other devices for complete home tech protection. It's very affordable. Would you like to explore that option?,False,False
117,Tablet,Software Issue,"Laptop, Smart Thermostat, Smart Headphones, Smart Speaker, Gaming System, Smart Security Camera, Sound Bar, Desktop, Fitness Tracker, Smart TV","I see you have a laptop and a gaming system. HomeTech Protection covers all your devices, even high-value ones like those. Would you be interested in learning more?",True,False
118,Tablet,Software Issue,"Printer, Smart Headphones, Gaming System, Laptop, Smart Security Camera, Smart Thermostat, Desktop, Sound Bar","With a laptop and a gaming system, you've got a great setup. HomeTech Protection can keep it all protected. Want to learn more?",False,False
119,Tablet,Slow Performance,"Smart TV, Desktop, Smart Speaker, Sound Bar, Smart Headphones, Smart Thermostat, Printer, Gaming System, Fitness Tracker",Many of our customers bundle their Smart TVs with their other devices for complete home tech protection. It's very affordable. Would you like to explore that option?,False,False
120,Tablet,Warranty Claim,"Fitness Tracker, Smart Headphones, Sound Bar, Desktop","A lot of people are now working from home, do you have a home office setup with a computer or printer?",True,False
121,Tablet,Battery Problem,"Gaming System, Smart Thermostat, Smart Security Camera, Fitness Tracker, Smart Speaker, Printer, Smart Headphones","I see you have some smart home devices. HomeTech Protection can cover your smart thermostat and security cameras, along with all your other tech. Have you considered it?",False,False
122,Smart Watch,Connectivity Issue,"Smart Security Camera, Gaming System, Smart Thermostat, Printer, Smart TV, Desktop, Smart Headphones, Laptop, Smart Speaker, Sound Bar","I see you have a laptop and a gaming system. HomeTech Protection covers all your devices, even high-value ones like those. Would you be interested in learning more?",False,False
123,Phone,Slow Performance,"Smart Speaker, Printer, Smart Thermostat, Sound Bar, Laptop, Desktop, Smart Headphones","Having a reliable home office is important. HomeTech Protection can cover your desktop and printer, giving you peace of mind. Want to learn more?",True,True
124,Tablet,App Issue,"Smart Speaker, Smart TV, Smart Security Camera, Sound Bar",Many of our customers bundle their Smart TVs with their other devices for complete home tech protection. It's very affordable. Would you like to explore that option?,False,False
125,Tablet,Phone Setup/Restore,"Sound Bar, Smart Headphones, Smart Thermostat","I see you have some smart home devices. HomeTech Protection can cover your smart thermostat and security cameras, along with all your other tech. Have you considered it?",False,False
126,Phone,Cracked Screen,"Smart TV, Sound Bar, Smart Headphones, Smart Speaker, Laptop, Printer, Fitness Tracker, Smart Thermostat, Smart Security Camera, Desktop, Gaming System","I see you have a laptop and a gaming system. HomeTech Protection covers all your devices, even high-value ones like those. Would you be interested in learning more?",True,False
127,Tablet,App Issue,"Printer, Gaming System, Smart Security Camera, Smart Thermostat, Desktop, Smart TV, Sound Bar, Smart Headphones, Laptop, Smart Speaker","With a laptop and a gaming system, you've got a great setup. HomeTech Protection can keep it all protected. Want to learn more?",True,False
128,Tablet,Battery Problem,"Smart TV, Smart Thermostat, Gaming System, Laptop, Sound Bar, Smart Security Camera, Smart Speaker, Smart Headphones, Fitness Tracker","With a laptop and a gaming system, you've got a great setup. HomeTech Protection can keep it all protected. Want to learn more?",False,False
129,Tablet,Phone Setup/Restore,"Laptop, Smart Speaker, Gaming System, Smart TV, Sound Bar, Smart Security Camera, Fitness Tracker, Smart Headphones, Smart Thermostat, Printer, Desktop","With a laptop and a gaming system, you've got a great setup. HomeTech Protection can keep it all protected. Want to learn more?",True,True
